1E-16,0.005816249
0.001,0.006091244
0.002,0.005798311
0.003,0.005867071
0.004,0.005832039
0.005,0.006057868
0.006,0.005080343
0.007,0.005305204
0.008,0.005373291
0.009,0.006075716
0.01,0.006252318
0.011,0.005367103
0.012,0.005169514
0.013,0.006039707
0.014,0.00621806
0.015,0.006451157
0.02,0.006163566
0.025,0.00664098
0.03,0.006120328
0.035,0.00541214
0.04,0.006184812
0.045,0.005981914
0.05,0.005890775
0.055,0.005795698
0.06,0.007350435
0.065,0.006960606
0.07,0.006305599
0.075,0.006141788
0.08,0.007010429
0.085,0.006256648
0.09,0.007951744
0.115,0.007400124
0.14,0.007879312
0.165,0.008887062
0.19,0.009198098
0.215,0.009985745
0.24,0.011356021
0.265,0.012209912
0.29,0.014321465
0.315,0.012446988
0.34,0.015314467
0.365,0.014240869
0.39,0.016906646
0.415,0.018863863
0.44,0.020835443
0.465,0.021014377
0.49,0.022807663
0.54,0.025380895
0.59,0.034184061
0.64,0.035236996
0.69,0.043780997
0.74,0.049732346
0.79,0.054948641
0.84,0.059405585
0.89,0.07751459
0.94,0.091182037
0.99,0.104501336
1.04,0.121858181
1.09,0.138444036
1.14,0.147411512
1.19,0.157429652
1.24,0.18574738
1.29,0.258111386
1.34,0.250745358
1.39,0.284074124
1.44,0.402123586
1.49,0.464870778
1.54,0.43440562
1.59,0.585025564
1.64,0.718208179
1.69,0.774925269
1.74,0.895844275
1.79,1.007891303
1.84,1.11171442
1.89,1.334616086
1.94,1.628583952
1.99,1.684527756
